contract_id,contract_start_date,annual_amount,ejari_property_sub_type_en,area_name_en
CRT2133655406,2025-12-01,55000,1bed room+Hall,Al Suq Al Kabeer
CRT2133851836,2025-12-06,130000,1bed room+Hall,Al Thanyah Third
CRT2134189426,2025-01-22,44000,Studio,Jabal Ali First
CRT2134045836,2025-12-22,36730,1bed room+Hall,Al Thanyah Fifth
CNT2130165631,2025-03-14,15000,Office,Business Bay
CNT2130162952,2025-03-31,10000,Office,Burj Khalifa
CNT2133561299,2025-12-05,27000,1bed room+Hall,Muhaisanah Fourth
CNT2132344750,2025-10-01,370000,3 bed rooms+hall,Trade Center Second
CNT2129264768,2025-02-10,120000,1bed room+Hall,Hadaeq Sheikh Mohammed Bin Rashid
CNT2131765977,2025-07-09,12000,Office,Al Qusais Industrial Fourth
CNT2133545175,2025-11-19,20000,Office,Business Bay
CNT2132451778,2025-08-30,15000,Office,Hor Al Anz
CNT2129845204,2025-02-19,15000,Office,Dubai Investment Park First
CNT2130607170,2025-04-22,15000,Office,Al Nahda Second
CNT2130442135,2025-05-20,95000,2 bed rooms+hall,Madinat Al Mataar
CNT2131863601,2025-06-05,310000,Warehouse,Ras Al Khor Industrial Second
CNT2132536303,2025-09-08,302,Studio,Al Mararr
CRT2133881046,2025-12-15,198000,Shop,Al Khawaneej Second
CNT2131011342,2025-05-21,15000,Office,Business Bay
CNT2133092967,2025-10-20,10000,Office,Al Khabeesi
CNT2130251297,2025-03-29,40172,2 bed rooms+hall,Al Karama
CNT2133496663,2025-11-01,50000,Studio,Hadaeq Sheikh Mohammed Bin Rashid
CNT2130452096,2025-01-09,156600,1bed room+Hall,Dubai Investment Park Second
CNT2134304590,2026-01-25,180000,3 bed rooms+hall,Al Barshaa South Third
CNT2128484419,2025-01-22,20000,Office,Al Murqabat
CNT2132323148,2025-08-20,15000,Office,Al Suq Al Kabeer
CNT2130494242,2025-02-05,104500,2 bed rooms+hall,Al Satwa
CRT2130283136,2025-03-10,85000,2 bed rooms+hall,Dubai Investment Park First
CRT2127891766,2025-01-11,110000,3 bed rooms+hall,Al Warsan First
CNT2130199736,2025-03-01,2157087,3 bed rooms+hall,Me'Aisem First
CNT2129463954,2025-02-01,40150,1bed room+Hall,Al Nahda Second
CNT2133518843,2025-11-17,20000,Office,Saih Shuaib 2
CNT2127455350,2025-01-05,115000,1bed room+Hall,Marsa Dubai
CRT2133083396,2025-10-20,140000,1bed room+Hall,Al Khairan First
CRT2132545016,2025-09-16,95000,1bed room+Hall,Al Barsha South Fourth
CNT2133770783,2025-12-15,71500,1bed room+Hall,Jabal Ali First
CNT2132029083,2025-07-29,10000,Office,Al Karama
CNT2130981509,2025-06-05,71999,2 bed rooms+hall,Al Murqabat
CNT2133496189,2025-11-14,20000,Office,Dubai Investment Park First
CNT2132586887,2025-06-27,70000,2 bed rooms+hall,AL QUSAIS
CNT2131788337,2025-07-01,55000,Shop,Muhaisanah Second
CNT2133266947,2025-11-01,418800,Room in labor Camp,Al Goze Industrial Second
CRT2131998591,2025-07-25,92000,2 bed rooms+hall,Al Barsha South Fourth
CNT2131349586,2025-04-04,96579,Shop,Al Warsan First
CNT2133676947,2025-11-28,30000,1bed room+Hall,Jabal Ali Industrial First
CRT2132825096,2025-10-03,46000,Studio,Al Merkadh
CNT2133914602,2025-12-18,15000,Office,Burj Khalifa
CNT2132264595,2025-08-07,2620000,Staff Accommodatoion,Al Warsan Third
CNT2131257727,2025-07-31,90956,2 bed rooms+hall,Al Hebiah Fourth
CRT2132407446,2025-09-01,160000,3 bed rooms+hall,Madinat Al Mataar
CNT2132141047,2025-07-15,432000,Room in labor Camp,Al Goze Industrial Second
CRT2126620286,2025-01-01,300000,4 bed rooms+hall,Al Twar Third
CNT2129890157,2025-02-01,16000,Store,Al Nahda Second
CNT2130506806,2025-03-01,1350000,Room in labor Camp,Jabal Ali Industrial First
CRT2131646496,2025-07-01,50000,Studio,Al Merkadh
CNT2130184896,2025-03-01,31185,Studio,Al Hebiah Fourth
CNT2129375673,2025-02-10,20000,Office,Hor Al Anz
CNT2132066066,2025-08-10,140000,2 bed rooms+hall,Wadi Al Safa 7
CNT2130263762,2025-03-16,79380,2 bed rooms+hall,Mankhool
CNT2130045202,2025-03-12,57000,1bed room+Hall,Nadd Hessa
CNT2129815227,2025-02-20,57330,2 bed rooms+hall,Al Goze Industrial Second
CNT2134205371,2026-01-20,55000,Studio,Al Hebiah Third
CNT2133020923,2025-10-14,15000,Office,Al Mararr
CNT2127646931,2025-01-08,10000,Office,Trade Center First
CNT2132367672,2025-08-11,43450,1bed room+Hall,Al Nahda First
CNT2125885201,2025-01-01,115500,3 bed rooms+hall,Trade Center First
CNT2127392483,2025-01-22,124783,Warehouse,Saih Shuaib 2
CNT2130067350,2025-03-07,15000,Office,Al Khabeesi
CNT2130141020,2025-03-13,20000,Office,Trade Center First
CNT2130834100,2025-05-01,53245,1bed room+Hall,Al Thanyah First
CNT2132335805,2025-08-25,66000,Office,Nad Al Hamar
CNT2133209352,2025-08-15,960000,Labor Camp,Muhaisanah Second
CNT2125886314,2025-01-18,37485,Studio,Al Murqabat
CNT2134089954,2025-12-24,220000,Office,Business Bay
CNT2130439276,2025-04-10,40000,Office,Hor Al Anz East
CNT2130980527,2025-02-01,150000,Room in labor Camp,Muhaisanah Second
CNT2130299092,2025-03-26,15000,Office,Hor Al Anz
CRT2132505696,2025-09-10,75000,Office,Business Bay
CNT2131145402,2025-05-31,20000,Office,Port Saeed
CNT2133340573,2025-11-05,30000,Office,Hor Al Anz
CNT2127568117,2025-01-07,20000,Office,Trade Center Second
CNT2133492345,2025-05-01,2880000,Room in labor Camp,Me'Aisem First
CNT2127873863,2025-01-10,9005559,Room in labor Camp,Jabal Ali Industrial First
CNT2132873841,2025-09-21,33000,Studio,Al Muteena
CNT2127809387,2025-01-04,52599,1bed room+Hall,Jabal Ali First
CNT2132859594,2025-10-06,49000,Studio,Port Saeed
CRT2130825546,2025-05-25,110000,Office,Business Bay
CNT2130686147,2025-04-28,15000,Office,Al Barsha First
CNT2130101709,2025-03-10,15000,Office,Al Khabeesi
CNT2128126572,2025-01-01,117000,Shop,Naif
CNT2132383433,2025-08-15,48000,Office,Ras Al Khor Industrial Third
CNT2131388298,2025-06-19,15000,Office,Al Muteena
CNT2130308651,2025-03-25,54450,1bed room+Hall,Al Karama
CNT2130736849,2025-05-01,10000,Office,Al Baraha
CNT2128307988,2025-01-01,45000,2 bed rooms+hall,Al Raffa
CRT2131643536,2025-06-12,43000,1bed room+Hall,Al Raffa
CNT2130699914,2025-05-01,110000,3 bed rooms+hall,Mankhool
CNT2133918532,2025-11-16,1500000,Room,Naif
CNT2133094862,2025-03-15,843720,Room in labor Camp,Al Goze Industrial Second
CRT2131319584,2025-07-01,190000,3 bed rooms+hall,Al Khairan First
CRT2127865926,2025-01-01,40000,2 bed rooms+hall,Al Raffa
CRT2133734376,2025-12-05,150000,2 bed rooms+hall,Marsa Dubai
CNT2132603862,2025-09-10,78000,1bed room+Hall,Al Barsha South Fourth
CRT2133188446,2025-10-14,1479740,Office,Business Bay
CNT2130483556,2025-04-14,17000,Office,Port Saeed
CNT2133116958,2025-10-27,65000,2 bed rooms+hall,Al Goze Industrial Second
CNT2126815446,2025-01-01,70000,Shop,Naif
CRT2130661496,2025-05-01,119000,2 bed rooms+hall,Al Thanyah Third
CNT2127288297,2025-01-01,55000,Shop,Al Mararr
CNT2132789388,2025-09-15,1009350,Office,Al Thanyah Third
CNT2131686241,2025-07-05,65000,Hotel,Al Barshaa South Third
CNT2129366232,2025-01-05,53000,1bed room+Hall,Al Karama
CNT2131193421,2025-05-11,68250,1bed room+Hall,Al Barsha South Fourth
CNT2133072892,2025-11-15,3820000,2 bed rooms+hall,Madinat Al Mataar
CNT2130682876,2025-04-28,73000,Office,Al Dhagaya
CNT2132773198,2025-09-01,30000,Office,Al Safouh First
CNT2131925776,2025-07-01,175000,Shop,Al Nahda Second
CNT2133095708,2025-10-26,40021,Studio,Al Murqabat
CNT2133949629,2025-11-01,70000,Office,Al Dhagaya
CNT2130147865,2025-04-01,10230,Room in labor Camp,Dubai Investment Park First
CNT2132142870,2025-08-01,67500,1bed room+Hall,Madinat Al Mataar
CNT2132041973,2025-06-15,2992080,Studio,Jabal Ali First
CNT2134048193,2026-02-26,190000,3 bed rooms+hall,Trade Center First
CRT2128823924,2025-01-01,51000,Studio,Mirdif
CNT2133433647,2025-11-10,20000,Office,Al Mararr
CNT2131197164,2025-06-03,15000,Office,Al Muteena
CNT2133429608,2025-11-10,20000,Office,Dubai Investment Park First
CNT2132271627,2025-08-10,44468,Studio,Al Hebiah First
CNT2130396527,2025-04-10,58000,2 bed rooms+hall,Wadi Al Safa 5
CNT2133831624,2025-12-01,2580000,Room in labor Camp,Saih Shuaib 4
CRT2133845086,2025-12-13,97000,1bed room+Hall,Jabal Ali First
CNT2133980414,2025-12-24,15000,Office,Muhaisanah Fourth
CNT2134172735,2025-12-01,180000,Room in labor Camp,Al Warsan Third
CNT2132200125,2025-02-15,112032,1bed room+Hall,Dubai Investment Park First
CNT2126740593,2025-01-01,40000,Studio,Al Barsha South Fourth
CNT2127382337,2025-01-16,61492,2 bed rooms+hall,Jabal Ali First
CNT2130197696,2025-03-18,15000,Office,Hor Al Anz
CNT2133636644,2025-12-01,250000,3 bed rooms+hall,Al Kheeran
CNT2126072371,2025-01-10,46000,1bed room+Hall,Al Nahda Second
CNT2132263922,2025-08-07,2620000,Staff Accommodatoion,Al Warsan Third
CNT2128726752,2025-01-28,57750,1bed room+Hall,Mankhool
CNT2131400054,2025-06-01,38850,1bed room+Hall,Al Warsan First
CNT2132035647,2025-01-01,3400000,Warehouse,Al Goze Industrial First
CNT2127950044,2025-01-01,59800,2 bed rooms+hall,Al Suq Al Kabeer
CNT2131779051,2025-07-10,75000,3 bed rooms+hall,Madinat Hind 4
CNT2128129520,2025-01-25,43000,2 bed rooms+hall,Al Qusais Industrial Second
CRT2130155219,2025-02-16,105000,1bed room+Hall,Al Merkadh
CNT2127857067,2025-01-16,30500,Studio,Al Warsan First
CNT2132192024,2025-08-01,990000,Warehouse,Al Goze Industrial First
CNT2131114265,2025-05-15,166030,Warehouse,Dubai Investment Park First
CNT2133973026,2025-12-20,40000,Office,Al Qusais Industrial First
CNT2129880487,2025-01-25,39000,1bed room+Hall,Al Muteena
CNT2132256267,2025-08-01,18000,Studio,Al Baraha
CRT2134093396,2026-01-10,120000,2 bed rooms+hall,Madinat Al Mataar
CNT2130652351,2025-03-20,57750,1bed room+Hall,Mankhool
CRT2130255712,2025-03-07,180000,2 bed rooms+hall,Burj Khalifa
CNT2132073843,2025-08-20,247320,Warehouse,Jabal Ali Industrial First
CNT2130587443,2025-04-21,15000,Office,Business Bay
CNT2133295524,2025-11-03,20000,Office,Al Khabeesi
CNT2130096995,2025-01-25,61000,2 bed rooms+hall,Al Karama
CNT2130242715,2025-03-21,2145600,Room in labor Camp,Al Goze Third
CNT2133587337,2025-11-23,37949,2 bed rooms+hall,Muhaisanah Fourth
CNT2134264811,2026-01-01,3708000,Room in labor Camp,Jabal Ali Industrial First
CNT2132754854,2025-10-01,47315,1bed room+Hall,Muhaisanah Fourth
CNT2131871296,2025-07-07,42000,Studio,Al Dhagaya
CNT2130947877,2025-04-25,90000,2 bed rooms+hall,Al Barsha South Fourth
CNT2128126306,2025-01-01,150000,Shop with a mezzanine,Naif
CNT2130627884,2025-05-01,175000,3 bed rooms+hall,Marsa Dubai
CNT2130837181,2025-05-01,50400,1bed room+Hall,Al Karama
CNT2134295708,2026-01-01,451200,Labor Camp,Muhaisanah Second
CNT2131939161,2025-06-16,398772,Room in labor Camp,Muhaisanah Second
CNT2127473678,2025-01-06,15000,Office,Hor Al Anz
CNT2134252146,2025-10-19,342000,Room in labor Camp,Muhaisanah Second
CNT2131522533,2025-06-18,78000,1bed room+Hall,Wadi Al Safa 7
CNT2127862040,2025-01-15,75000,2 bed rooms+hall,Mirdif
CNT2134253199,2026-01-14,45000,1bed room+Hall,Warsan Fourth
CRT2129057646,2025-02-10,155000,2 bed rooms+hall,Hadaeq Sheikh Mohammed Bin Rashid
CRT2128956666,2025-01-21,108000,2 bed rooms+hall,Al Barshaa South Third
CNT2133777550,2025-12-01,100000,Shop,Al Khawaneej Second
CNT2131929821,2025-07-15,57000,2 bed rooms+hall,Al Twar First
CNT2133654009,2025-11-27,20000,Office,Port Saeed
CRT2128812686,2025-01-31,77000,Studio,Business Bay
CNT2133617571,2025-11-25,20000,Office,Port Saeed
CNT2129821372,2025-02-18,15000,Office,Dubai Investment Park First
CNT2130256368,2025-01-10,51000,2 bed rooms+hall,Al Nahda First
CNT2132973329,2025-12-26,100000,2 bed rooms+hall,Wadi Al Safa 7
CNT2133773984,2025-12-11,28500,Office,Al Karama
CNT2132220695,2025-07-04,50820,1bed room+Hall,Al Barsha South Fourth
CNT2130495059,2025-04-25,52500,1bed room+Hall,AL TWAR FIFTH
CNT2133817114,2025-12-11,20000,Office,Dubai Investment Park First
CNT2128469128,2025-01-01,150000,Shop,Jabal Ali Industrial First
CNT2133880911,2025-12-16,15000,Office,Al Khabeesi
CNT2131953276,2025-05-05,256489,Office,Al Thanyah Fifth
CNT2132105856,2025-07-31,46000,Shop,Port Saeed
CNT2133999824,2025-12-26,50000,Office,Port Saeed
CRT2132086206,2025-08-15,150000,3 bed rooms+hall,Al Yelayiss 2
CNT2134028917,2026-01-01,32000,9 bed rooms+hall,Al Hudaiba
CRT2129993566,2025-03-01,245000,4 bed rooms+hall,Wadi Al Safa 7
CNT2130563521,2025-04-15,129282,1bed room+Hall,Marsa Dubai
CNT2130224796,2025-03-01,284256,Room in labor Camp,Dubai Investment Park Second
CNT2133883411,2025-12-16,350000,Studio,Al Barsha First
CNT2130374082,2025-04-01,44000,Studio,Al Goze Fourth
CNT2130594319,2025-04-21,15000,Shop,Hor Al Anz
CNT2130411813,2025-01-01,28000,Shop,Al Jafliya
CNT2131145695,2025-06-11,180000,Office,Business Bay
CNT2130787916,2025-06-11,102000,2 bed rooms+hall,Al Jadaf
CNT2132462136,2025-09-01,35000,Office,Al Garhoud
CNT2133435550,2025-11-05,50840,Office,Business Bay
CNT2132821855,2025-07-15,43500,1bed room+Hall,Nadd Hessa
CNT2133074977,2025-10-10,73500,1bed room+Hall,Business Bay
CNT2132370801,2025-08-01,61710,2 bed rooms+hall,Nadd Hessa
CNT2130069306,2025-01-08,57750,2 bed rooms+hall,Al Goze Industrial Second
CNT2131953581,2025-07-28,61100,2 bed rooms+hall,Jabal Ali First
CNT2129963003,2025-02-27,231000,3 bed rooms+hall,Al Hebiah Third
CNT2132418870,2025-08-30,50000,1bed room+Hall,Warsan Fourth
CNT2131276638,2025-06-10,318000,Room in labor Camp,Al Goze Third
CRT2133303716,2025-11-01,1100000,Warehouse,Saih Shuaib 4
CNT2133587451,2025-12-01,50000,Studio,Jabal Ali First
CNT2133350358,2025-11-07,105000,2 bed rooms+hall,Al Merkadh
CNT2133865860,2025-08-04,1435200,Room in labor Camp,Dubai Investment Park Second
CRT2134096327,2026-01-10,195000,2 bed rooms+hall,Hadaeq Sheikh Mohammed Bin Rashid
CNT2131673559,2025-07-01,140000,3 bed rooms+hall,Al Hebiah First
CRT2133005586,2025-09-05,242000,3 bed rooms+hall,Palm Jumeirah
CNT2132919614,2025-10-10,79999,2 bed rooms+hall,Al Karama
CRT2131000536,2025-04-15,80000,1bed room+Hall,Hadaeq Sheikh Mohammed Bin Rashid
CNT2132213223,2025-08-10,85000,1bed room+Hall,Al Satwa
CNT2127073815,2025-01-10,40000,1bed room+Hall,Al Mararr
CRT2133137546,2025-10-27,190000,3 bed rooms+hall,Al Hebiah Third
CNT2132998030,2025-11-01,170000,Hotel,Business Bay
CNT2134252183,2025-10-22,1285354,Office,Trade Center Second
CRT2130824816,2025-05-20,320000,4 bed rooms+hall,Wadi Al Safa 6
CNT2130744175,2025-02-01,900000,Room in labor Camp,Al Goze Industrial Second
CRT2131382886,2025-05-26,1000,Hotel,Al Thanyah First
CRT2131910696,2025-03-31,200000,4 bed rooms+hall,Wadi Al Safa 5
CNT2131021492,2025-05-28,90000,2 bed rooms+hall,Oud Metha
CNT2130732827,2025-02-27,478404,Room in labor Camp,Saih Shuaib 2
CRT2129820746,2025-02-01,48000,Shop,Al Warsan First
CNT2132046638,2025-08-25,48000,Studio,Nadd Hessa
CNT2134029340,2026-02-21,44000,1bed room+Hall,Al Goze Industrial Second
CNT2131702955,2025-05-25,47000,1bed room+Hall,Muhaisanah Fourth
CNT2129766795,2025-03-01,79000,2 bed rooms+hall,Al Raffa
CNT2131954950,2025-07-23,20000,Office,Al Khabeesi
CRT2133729866,2025-12-04,110000,1bed room+Hall,Hadaeq Sheikh Mohammed Bin Rashid
CRT2131576336,2025-01-01,10000,Office,AL QUSAIS
CNT2131862329,2025-08-05,95000,2 bed rooms+hall,Port Saeed
CNT2133783058,2025-11-01,94380,2 bed rooms+hall,Jumeirah First
CRT2133735526,2026-01-10,40000,1bed room+Hall,Al Baraha
CNT2130696321,2025-04-11,82732,Office,Al Thanyah Fifth
CNT2130682773,2025-02-25,252000,Room in labor Camp,Dubai Investment Park First
CNT2129856179,2025-02-20,15000,Office,Hor Al Anz
CNT2129988342,2025-03-10,71400,2 bed rooms+hall,Nadd Hessa
CNT2131029827,2025-05-22,15000,Office,Hor Al Anz
CNT2132828585,2025-05-20,33000,Studio,Nad Al Hamar
CNT2132147355,2025-08-06,15000,Office,Trade Center First
CNT2127512652,2025-02-06,26500,Studio,Al Warsan First
CRT2134090116,2026-01-05,150000,2 bed rooms+hall,Al Merkadh
CNT2133350525,2025-11-06,20000,Office,Port Saeed
CNT2131935931,2025-07-05,63000,2 bed rooms+hall,Al Muteena
CNT2133409315,2025-11-07,20000,Office,Al Murqabat
CNT2133278535,2025-10-31,41000,Studio,Al Barshaa South Third
CRT2130696606,2025-05-01,2400000,Room in labor Camp,Jabal Ali Industrial First
CNT2130908387,2025-04-14,59800,Office,Al Muteena
CNT2130560343,2025-05-01,36383,2 bed rooms+hall,Muhaisanah Fourth
CNT2131893061,2025-07-25,110000,Shop,Mirdif
CNT2129927399,2025-02-09,160000,Shop,Hor Al Anz
CNT2128824746,2025-01-31,33600,Room in labor Camp,Al Goze Third
CRT2130563986,2025-05-05,90000,Hotel,Al Barsha South Fourth
CNT2130620890,2025-04-01,214800,Room in labor Camp,Dubai Investment Park Second
CNT2130858634,2025-05-10,15000,Office,Business Bay
CNT2134196065,2026-01-12,20000,Office,Al Khabeesi
CNT2130226429,2025-03-25,35152,Studio,Jabal Ali First
CNT2132764001,2025-06-14,28800,Room in labor Camp,Muhaisanah Second
CNT2133405004,2025-10-11,58800,1bed room+Hall,Um Ramool
CNT2131556250,2025-06-16,50000,1bed room+Hall,Al Nahda First
CNT2133615185,2025-12-15,721000,2 bed rooms+hall,Jabal Ali First
CRT2131069496,2025-06-01,85000,3 bed rooms+hall,Madinat Hind 4
CNT2133018775,2025-11-20,66990,2 bed rooms+hall,Mirdif
CNT2132350305,2025-09-01,72865,2 bed rooms+hall,Al Thanyah First
CRT2134014936,2025-11-10,54600,1bed room+Hall,Jabal Ali First
CRT2132985766,2025-10-13,150000,2 bed rooms+hall,Al Merkadh
CNT2131287869,2025-06-12,20000,Office,Al Muteena
CNT2133615065,2025-12-15,665280,Room in labor Camp,Al Goze Industrial Second
CNT2130876617,2025-06-01,253321,Shop,Marsa Dubai
CNT2133860473,2025-12-15,78000,1bed room+Hall,Al Satwa
CNT2133895079,2025-12-17,20000,Office,Burj Khalifa
CNT2129737484,2025-02-16,15000,Office,Al Baraha
CNT2130353125,2025-04-01,22000,Studio,Naif
CRT2131652306,2025-07-25,142000,3 bed rooms+hall,Al Yelayiss 1
CNT2130361259,2025-04-20,198000,2 bed rooms+hall,Marsa Dubai
CRT2133300096,2025-11-05,35420,Studio,Al Barshaa South Third
CRT2126302966,2025-01-01,85000,2 bed rooms+hall,Madinat Hind 4
CNT2132440129,2025-08-15,40000,Office,Oud Metha
CNT2130809126,2025-05-03,38000,Studio,Me'Aisem First
CNT2129983895,2025-03-06,168000,4 bed rooms+hall,Jabal Ali First
CNT2132686648,2025-09-18,20000,Office,Dubai Investment Park First
CNT2129028197,2025-02-10,41800,1bed room+Hall,Al Nahda First
CNT2134166047,2026-01-09,15000,Office,Al Murqabat
CRT2133441106,2025-11-11,35000,1bed room+Hall,Abu Hail
CNT2127936294,2025-01-14,17640,Office,Al Barsha First
CNT2130276061,2025-04-01,55000,1bed room+Hall,Nadd Hessa
CNT2132999623,2025-08-25,115000,3 bed rooms+hall,Mirdif
CNT2130346883,2025-03-17,72000,2 bed rooms+hall,Hor Al Anz East
CNT2127627020,2025-01-10,75000,2 bed rooms+hall,Mankhool
CNT2133891975,2025-11-17,48100,1bed room+Hall,Al Barsha South Fifth
CNT2133302979,2025-11-03,18000,Office,Um Hurair Second
CNT2132688419,2025-08-20,266112,Room in labor Camp,Muhaisanah Second
CNT2131166273,2025-06-02,15000,Office,Al Karama
CNT2130048988,2025-03-24,196154,Room in labor Camp,Muhaisanah Second
CNT2129123614,2025-01-05,37000,1bed room+Hall,Al Nahda Second
CRT2133565706,2025-11-02,40000,Shop,Al Mararr
CNT2133517396,2025-11-06,3869166,Showroom,Al Goze Industrial First
CNT2129884129,2025-03-01,55000,Studio,Al Barsha First
CNT2130072690,2025-02-05,90240,Room in labor Camp,Al Goze Industrial Fourth
CNT2130897345,2025-05-13,15000,Office,Jabal Ali Industrial First
CNT2133595856,2025-12-01,40000,1bed room+Hall,Naif
CNT2128039014,2025-01-15,12000,Office,Al Goze First
CRT2131728299,2025-07-15,155000,3 bed rooms+hall,Wadi Al Safa 5
CNT2132371983,2025-09-01,4800000,Labor Camp,Jabal Ali Industrial First
CNT2134009736,2025-11-27,48600,1bed room+Hall,Nadd Hessa
CNT2134069529,2026-03-25,37073,1bed room+Hall,Al Warsan First
CNT2134210256,2025-11-01,460800,Room in labor Camp,Muhaisanah Second
CNT2132986427,2025-10-11,15000,Office,Naif
CRT2133093576,2025-11-01,200000,5 bed rooms+hall,Al Wasl
CNT2132160298,2025-08-15,149000,2 bed rooms+hall,Nad Al Shiba First
CNT2129053789,2025-02-01,160000,2 bed rooms+hall,Burj Khalifa
CNT2130636670,2025-01-12,5204040,Shop,Al Wasl
CNT2132784621,2025-09-10,80000,1bed room+Hall,Al Barshaa South Third
CNT2132418397,2025-09-25,100000,2 bed rooms+hall,Al Barsha South Fifth
CRT2133326736,2025-11-09,100000,1bed room+Hall,Marsa Dubai
CNT2131046867,2025-05-22,36225,2 bed rooms+hall,Muhaisanah Fourth
CNT2133888174,2025-09-04,138000,1bed room+Hall,Burj Khalifa
CNT2129843197,2025-02-19,20000,Office,Ras Al Khor Industrial Second
CNT2127629907,2025-01-09,35066,Studio,Jabal Ali First
CNT2132909993,2025-10-10,289800,4 bed rooms+hall,Al Saffa First
CRT2132969406,2025-10-13,100000,1bed room+Hall,Burj Khalifa
CNT2129253032,2025-02-01,64000,2 bed rooms+hall,Mankhool
CNT2133793939,2025-12-15,160000,Office,Rega Al Buteen
CNT2133775180,2025-12-07,6000,1bed room+Hall,Nadd Hessa
CNT2131723667,2025-07-07,271000,Room in labor Camp,Jabal Ali Industrial First
CNT2132967558,2025-10-09,15000,Office,Business Bay
CNT2127830184,2025-01-20,43560,1bed room+Hall,Al Nahda Second
CRT2130398856,2025-03-15,50000,Shop,Hor Al Anz
CNT2132700299,2025-09-01,410280,Labor Camp,Muhaisanah Second
CNT2132568799,2025-09-08,150000,5 bed rooms+hall,Madinat Hind 4
CNT2131413467,2025-07-01,42500,1bed room+Hall,AL QUSAIS
CNT2133554588,2025-11-10,25000,Warehouse,Ras Al Khor Industrial Second
CNT2132199161,2025-06-13,432000,Room in labor Camp,Jabal Ali Industrial First
CNT2131108463,2025-06-01,66000,3 bed rooms+hall,Al Karama
CNT2128273303,2025-01-22,47000,Office,Naif
CNT2128791161,2025-02-16,104000,3 bed rooms+hall,Al Murqabat
CRT2130002376,2025-01-18,55000,Studio,Hadaeq Sheikh Mohammed Bin Rashid
CNT2130204573,2025-01-20,25000,Studio,Al Mararr
CNT2121978596,2025-01-01,172380,Office,Trade Center First
CNT2132546196,2025-09-08,15000,Office,Al Suq Al Kabeer
CRT2132872786,2025-09-15,67000,2 bed rooms+hall,Al Hebiah Fifth
CNT2131369910,2025-04-01,253500,Room in labor Camp,Dubai Investment Park Second
CNT2132595826,2025-09-10,52500,Office,Business Bay
CRT2132392246,2025-05-01,70000,2 bed rooms+hall,Al Suq Al Kabeer
CNT2133450031,2025-10-01,240000,Room in labor Camp,Al Goze Third
CNT2133982137,2026-01-01,24000,Office,Naif
CNT2134030526,2026-01-01,2760000,Room in labor Camp,Jabal Ali Industrial First
CNT2130490711,2025-04-14,15000,Office,Burj Khalifa
CNT2132998261,2025-10-13,26000,Office,Port Saeed
CRT2132755816,2025-09-20,75000,3 bed rooms+hall,Saih Shuaib 2
CRT2129956336,2025-02-26,100000,1bed room+Hall,Al Jadaf
CNT2128809470,2025-01-13,92400,Room in labor Camp,Saih Shuaib 3
CNT2132003529,2025-07-26,36000,Studio,Al Mararr
CNT2133492313,2025-10-22,225000,1bed room+Hall,Al Murqabat
CNT2132206181,2025-08-15,954000,Room in labor Camp,Jabal Ali Industrial First
CNT2129978753,2025-01-17,10000,Office,Al Hamriya
CNT2134134858,2026-01-01,1947600,1bed room+Hall,Jabal Ali Industrial First
CNT2130310987,2025-02-20,160120,Warehouse,Dubai Investment Park Second
CNT2133996235,2025-01-01,1441000,Staff Accommodatoion,Al Warsan Third
CNT2134112882,2026-01-01,65520,Office,Me'Aisem First
CNT2130415090,2025-04-08,15000,Office,Muhaisanah Fourth
CNT2133846593,2026-01-01,40250,2 bed rooms+hall,Al Mararr
CNT2129460626,2025-04-26,60000,1bed room+Hall,Mirdif
CRT2132542395,2025-10-01,130000,1bed room+Hall,Wadi Al Safa 3
CNT2132008987,2025-07-30,163013,4 bed rooms+hall,Al Bada
CNT2132630646,2025-09-20,58000,1bed room+Hall,Wadi Al Safa 5
CNT2131580287,2025-07-01,73200,,Muhaisanah Second
CNT2129944982,2025-02-20,2687999,Room in labor Camp,Jabal Ali Industrial First
CNT2132395538,2025-08-19,8476454,Studio,Al Raffa
CNT2130884837,2025-05-13,16000,Office,Al Garhoud
CNT2129270023,2025-01-30,25000,Studio,Al Warsan First
CNT2130883627,2025-05-01,656640,,Al Goze Industrial Second
CRT2134233062,2026-01-28,68000,Hotel,Al Hebiah Third
CNT2133682987,2025-12-02,69999,1bed room+Hall,Al Karama
CNT2130262685,2025-04-01,120000,Coffe shop,Al Barsha First
CRT2127874876,2025-01-07,115500,2 bed rooms+hall,Al Merkadh
CNT2133413503,2025-11-10,120000,2 bed rooms+hall,Wadi Al Safa 3
CNT2129904750,2025-02-24,17000,Studio,Al Warsan First
CNT2132974201,2025-10-01,50000,Storage,Mankhool
CRT2133276306,2025-11-12,140000,2 bed rooms+hall,Al Khairan First
CNT2128499701,2025-01-04,65000,1bed room+Hall,Al Barsha First
CNT2133791075,2025-12-20,52500,2 bed rooms+hall,Al Nahda Second
CNT2130362467,2025-04-15,50000,1bed room+Hall,Al Saffa First
CNT2132538002,2025-09-15,50400,1bed room+Hall,Madinat Al Mataar
CNT2130044747,2025-03-12,47000,Studio,Jabal Ali First
CNT2130519987,2025-04-01,105000,Office,Al Dhagaya
CNT2132468112,2025-09-01,15000,Office,Al Khabeesi
CNT2132644908,2025-09-19,69600,Studio,Business Bay
CNT2134004448,2026-01-03,203280,4 bed rooms+hall,Jumeirah Third
CNT2132566298,2025-08-20,58000,2 bed rooms+hall,Al Nahda First
