contract_id,contract_start_date,annual_rent,rooms,area_name
CNT2130154292,2025-03-15,35000,Studio,Al Warqa First
CNT2132886527,2025-10-05,120000,2,Al Barsha First
CRT2129457716,2025-01-25,96800,3,Madinat Al Mataar
CNT2132412675,2025-08-29,65000,2,Al Nahda Second
CNT2133199639,2025-10-24,80000,1,Al Khairan First
CNT2131131906,2025-05-04,28000,Studio,Wadi Al Safa 5
CNT2131252534,2025-06-01,100000,3,Mirdif
CNT2133642065,2025-11-10,66944,2,Nad Hessa
CNT2130229430,2025-03-20,10000,Office,Um Hurair Second
CNT2132887856,2025-10-12,36336,Studio,Jabal Ali First
CNT2132969747,2025-10-09,20000,Shop,Dubai Investment Park Second
CNT2131878369,2025-07-17,10000,Office,Al Qusais Industrial Fourth
CNT2127757028,2025-01-10,15000,Office,Al Nahda First
CNT2134105587,2026-01-15,145000,4,Mirdif
CNT2131875650,2025-07-21,90000,2,Al Warqa First
CRT2130189830,2025-04-01,50000,1,Wadi Al Safa 5
CNT2131245780,2025-06-10,10000,Office,Port Saeed
CNT2131141205,2025-04-15,20000,Office,Al Mararr
CNT2133146462,2025-10-28,56700,2,Al Goze Industrial Second
CNT2128712528,2025-02-01,42000,1,Port Saeed
CNT2133654898,2025-11-28,53500,1,Jabal Ali First
CNT2133898413,2025-12-01,52920,2,Al Warsan First
CNT2132963156,2025-11-02,22000,Office,Burj Khalifa
CNT2130912251,2025-04-01,82500,Office,Al Murqabat
CNT2134175918,2026-01-10,140000,4,Madinat Hind 4
CRT2132834556,2025-09-30,15000,Office,Port Saeed
CNT2127619073,2025-01-10,50000,Studio,Al Barsha First
CNT2132879659,2025-10-10,52500,2,Port Saeed
CRT2131371166,2025-06-18,35000,1,Abu Hail
CNT2125896477,2025-01-01,35000,1,Al Hamriya
CNT2133508903,2025-10-27,32999,Studio,Al Rashidiya
CNT2128500400,2025-01-06,36300,1,Al Warqa First
CNT2131211027,2025-06-04,20000,Office,Port Saeed
CNT2133989392,2025-12-29,40000,1,Al Suq Al Kabeer
CNT2131685137,2025-07-03,14000,Office,Mankhool
CNT2131287508,2025-01-24,100000,Office,Um Al Sheif
CNT2130418025,2025-04-08,20000,Office,Al Khabeesi
CNT2130686449,2025-05-14,54600,2,Al Goze Industrial Second
CRT2133685906,2025-11-30,155000,1,Zaabeel Second
CNT2130398591,2025-01-01,92975,Office,Al Barsha South Fourth
CNT2127120573,2025-01-20,51750,2,Nad Hessa
CNT2133966078,2026-01-01,17500,Studio,Al Warsan First
CNT2132720450,2025-08-01,19690,Shop,Al Rashidiya
CNT2134299878,2026-02-10,120000,2,Al Jadaf
CNT2132857411,2025-09-15,50000,1,Eyal Nasser
CNT2132329198,2025-08-21,20000,Office,Trade Center First
CNT2133191747,2025-10-27,55200,3,Al Mamzer
CNT2131583981,2025-06-30,15000,Office,Al Khabeesi
CNT2128916679,2025-02-01,15000,Office,Al Baraha
CRT2130865146,2025-01-25,154000,2,Al Thanyah Fifth
CRT2129046276,2025-01-25,60000,1,Jabal Ali First
CNT2131138734,2025-06-01,88117,Warehouse,Jabal Ali Industrial First
CNT2127581774,2025-01-01,82381,Shop with a mezzanine,Naif
CNT2131170310,2025-06-01,33810,1,Warsan Fourth
CNT2134042099,2025-12-31,47000,Studio,Warsan Fourth
CNT2131193796,2025-06-03,21000,Office,Dubai Investment Park First
CRT2131780246,2025-07-13,40000,Studio,Dubai Investment Park Second
CNT2127644063,2025-01-08,15000,Office,Al Muteena
CRT2131778536,2025-07-09,60000,Shop,Al Barsha South Fifth
CNT2130548406,2025-03-25,79365,2,Jabal Ali First
CNT2130392148,2025-04-06,20000,Office,Hor Al Anz
CNT2132161075,2025-08-10,28000,Office,Al Mararr
CNT2133456670,2025-11-15,100000,3,Madinat Hind 4
CNT2130553068,2025-04-01,90000,Office,Al Mamzer
CNT2131361375,2025-07-26,85000,2,Al Rega
CRT2130301426,2025-03-28,130000,1,Burj Khalifa
CNT2134016779,2025-12-04,127400,Shop with a mezzanine,Jabal Ali First
CNT2130326874,2025-06-19,30450,Studio,Al Goze Industrial Second
CNT2130564497,2025-04-17,50000,Studio,Jabal Ali First
CNT2132024107,2025-07-27,76929,3,Abu Hail
CRT2130766376,2025-05-10,120000,3,Madinat Al Mataar
CRT2127803256,2025-01-17,52000,1,Al Barsha South Fourth
CNT2132446034,2025-08-27,42000,Studio,Al Hebiah Fourth
CNT2132002507,2025-08-07,42000,Studio,Al Barsha South Third
CNT2131692217,2025-07-05,165000,3,Al-Cornich
CNT2133513203,2025-11-17,16000,Office,Business Bay
CNT2131570804,2025-07-01,38000,Studio,Al Warqa First
CNT2128097840,2025-01-31,39999,1,Muhaisanah Fourth
CNT2133893937,2025-12-17,15000,Office,Business Bay
CNT2131262968,2025-06-21,89333,3,Mirdif
CNT2129818814,2025-02-18,15000,Office,Hor Al Anz
CNT2133514694,2025-10-20,63000,2,Nad Al Hamar
CNT2134286522,2026-01-10,101430,Shop,Naif
CNT2130300140,2025-03-29,62500,3,Al Qusais Industrial Fifth
CNT2133255875,2025-10-15,75000,2,Warsan Fourth
CNT2129908559,2025-02-24,20000,Office,Ras Al Khor Industrial Second
CRT2130789916,2025-05-06,50000,Studio,Al Merkadh
CNT2132327659,2025-08-20,40000,1,Al Murqabat
CNT2130803766,2025-04-29,85000,1,Nad Hessa
CRT2133705166,2025-10-11,24000,Studio,Hor Al Anz
CNT2131947307,2025-07-12,86999,3,Al Karama
CNT2132380559,2025-08-15,40800,Office,Al Mamzer
CRT2130078446,2025-02-01,100000,2,Al Barsha South Third
CRT2133868036,2025-12-15,105000,2,Al Hebiah Fourth
CNT2130227416,2025-03-20,15000,Office,Al Mararr
CNT2131864447,2025-07-30,65000,2,Al Nahda First
CNT2130128891,2025-03-09,48400,1,Mirdif
CRT2132735109,2025-09-22,73500,2,Al Yelayiss 2
CNT2131953379,2025-07-23,52270,1,Jabal Ali First
CRT2130273716,2025-03-25,115000,3,Mirdif
CNT2133526087,2026-01-10,95000,1,Al Khairan First
CNT2131797621,2025-04-05,38850,Studio,Al Karama
CNT2132359929,2025-09-30,30000,Studio,Al Suq Al Kabeer
CNT2127592554,2025-01-07,25000,Office,Port Saeed
CNT2131895855,2025-07-01,30613,Room in labor camp,Al Goze Industrial Second
CNT2130660505,2025-04-25,15000,Office,Business Bay
CNT2133750563,2025-12-08,75000,Shop with a mezzanine,Al Suq Al Kabeer
CNT2130896936,2025-05-13,15000,Office,Hor Al Anz
CNT2133874983,2026-01-01,32000,2,Muhaisanah Fourth
CNT2134234027,2026-01-14,15000,Office,Al Karama
CNT2133897027,2025-12-05,66125,1,Business Bay
CNT2131694753,2025-07-03,15000,Office,Port Saeed
CNT2132496724,2025-10-01,39600,Office,Al Dhagaya
CNT2131576062,2025-07-01,54500,2,Al Nahda Second
CNT2134164841,2025-03-01,43659,1,Dubai Investment Park First
CNT2126721369,2025-01-03,71500,1,Madinat Al Mataar
CNT2129048243,2025-01-25,29960,Studio,Al Twar Fifth
CNT2132587988,2025-04-01,85000,1,Business Bay
CNT2133451059,2025-12-01,33000,Studio,Al Nahda Second
CRT2130011156,2025-03-05,75000,1,Al Barsha South Fourth
CNT2133293327,2025-10-07,53500,1,Al Barsha First
CRT2130187686,2025-02-01,105000,1,Al Khairan First
CNT2130569351,2025-04-15,51000,1,Al Jadaf
CNT2130870441,2025-07-26,100070,3,Madinat Al Mataar
CNT2132518720,2025-09-15,46000,1,Al Suq Al Kabeer
CNT2132959859,2025-09-03,109320,Warehouse,Al Goze Industrial Fourth
CNT2130252677,2025-04-18,67760,2,Jabal Ali First
CNT2129195091,2025-01-20,43000,Office,Al Goze Third
CNT2132951327,2025-10-08,20000,Office,Saih Shuaib 2
CNT2130249609,2025-02-20,90000,Studio,Palm Jumeirah
CNT2131324787,2025-06-16,20000,Office,Al Muteena
CNT2132614516,2025-09-14,75000,1,Al Barsha South Fourth
CNT2134235147,2026-01-14,15000,Office,Al Murqabat
CRT2130980406,2025-03-13,26000,Studio,Al Warsan First
CNT2129127040,2025-02-23,48510,2,Al Karama
CNT2127372508,2025-01-10,36000,1,Al Barsha First
CNT2130362744,2025-03-26,90000,1,Al Dhagaya
CRT2133690956,2025-12-05,116000,2,Burj Khalifa
CNT2133653098,2025-11-27,17000,Office,Al Mararr
CNT2133880041,2025-12-16,30000,1,Jabal Ali Industrial First
CNT2133213737,2025-10-28,20000,Office,Trade Center First
CNT2130297471,2025-03-26,180000,3,Jabal Ali First
CNT2132672436,2025-09-11,30000,Studio,Al Barsha South Third
CNT2130405414,2025-04-07,15000,Office,Al Mararr
CNT2127995067,2025-01-14,35000,Office,Hor Al Anz East
CNT2130609410,2025-03-01,61000,2,Al Muteena
CNT2133560772,2025-11-12,75000,2,Hor Al Anz
CNT2133621913,2025-11-25,17000,Office,Al Baraha
CNT2133854249,2025-12-15,158700,4,Nad Hessa
CNT2130557188,2025-05-01,24000,Studio,Al Mararr
CNT2130507943,2025-04-07,57000,1,Jabal Ali First
CNT2127858374,2025-01-13,60000,1,Al Barsha First
CNT2129431897,2025-02-11,99750,2,Business Bay
CNT2131883433,2025-07-17,15000,Office,Al Mararr
CNT2132367045,2025-08-15,63800,3,Muhaisanah Fourth
CNT2127155413,2025-01-01,58400,1,Al Karama
CRT2133952996,2025-12-22,32000,Studio,Al Warsan First
CRT2134179866,2026-01-08,168000,2,Al Thanyah Fourth
CNT2129377722,2025-02-10,37000,Studio,Madinat Hind 4
CRT2131134620,2025-05-31,67000,1,Nad Hessa
CNT2132615762,2025-08-14,80051,Studio,Nad Hessa
CNT2131076466,2025-05-27,11000,Office,Mankhool
CRT2134178816,2026-01-12,78000,Hotel,Madinat Hind 4
CNT2133718124,2025-12-04,20000,Office,Port Saeed
CNT2133451043,2025-10-05,100000,3,Mankhool
CNT2131981025,2025-09-01,47000,1,Al Suq Al Kabeer
CNT2130415709,2025-04-08,20000,Office,Hor Al Anz
CNT2130031027,2025-03-05,15000,Office,Al Khabeesi
CNT2132143145,2025-08-06,15000,Office,Al Muteena
CNT2132675025,2025-11-12,52500,2,Al Nahda Second
CRT2132120586,2025-07-20,73000,1,Al Merkadh
CNT2129255489,2025-02-01,88150,2,Al Jadaf
CNT2133180082,2025-11-01,44500,1,Al Nahda First
CNT2133155802,2025-10-01,142000,3,Nad Hessa
CNT2130119725,2025-03-05,54000,1,Al Murqabat
CNT2133334072,2025-11-10,22000,Studio,Naif
CNT2129910865,2025-02-24,15000,Office,Al Baraha
CNT2133932545,2025-12-04,46800,1,Warsan Fourth
CNT2129366258,2025-01-01,150000,Shop,Al Warsan Third
CRT2132065856,2025-08-01,72000,2,Mirdif
CNT2132993421,2025-11-01,80000,2,Al Qusais
CNT2130362655,2025-04-14,89250,Shop,Al Suq Al Kabeer
CNT2130201314,2025-03-18,44665,2,Al Raffa
CNT2128503717,2025-02-09,85999,2,Al Barsha First
CNT2130275367,2025-02-15,140000,Warehouse,Ras Al Khor Industrial First
CNT2133298128,2025-11-03,20000,Office,Al Murqabat
CRT2130897886,2025-03-01,50000,1,Nad Hessa
CRT2133750066,2025-12-01,60000,Shop,Naif
CNT2131084844,2025-04-01,39000,Shop,Naif
CNT2132534082,2025-09-06,67000,Studio,Jabal Ali First
CNT2130625054,2025-04-23,15000,Office,Al Khabeesi
CNT2128318357,2025-01-21,15000,Office,Dubai Investment Park First
CNT2132718269,2025-09-21,20000,Office,Dubai Investment Park First
CNT2133600443,2025-10-25,80000,1,Al Bada
CNT2132552420,2025-09-09,20000,Office,Ras Al Khor Industrial Second
CNT2130317261,2025-03-27,70000,1,Al Barsha South Fourth
CNT2134008429,2026-01-01,52500,2,Al Nahda Second
CNT2127981223,2025-01-01,69828,Shop,Naif
CNT2129686330,2025-02-17,23100,Studio,Al Baraha
CNT2133223407,2025-10-20,130000,3,Mirdif
CNT2131831092,2025-07-14,15000,Office,Saih Shuaib 2
CNT2128101383,2025-01-16,44100,Office,Al Thanyah First
CNT2132875352,2025-09-19,80000,2,Al Hebiah Fourth
CRT2133972996,2025-12-15,30000,1,Muhaisanah First
CNT2129261463,2025-02-07,15000,Office,Hor Al Anz
CNT2133814082,2025-12-22,24200,Studio,Al Warsan First
CNT2134253004,2026-01-10,24000,Office,Al Garhoud
CRT2133515576,2025-11-08,100000,2,Mirdif
CNT2129937211,2025-02-15,60000,Shop with a mezzanine,Al Warsan Third
CRT2129908816,2025-03-01,55000,1,Al Hebiah Fourth
CNT2133001502,2025-10-13,15000,Office,Business Bay
CNT2132615608,2025-03-01,30000,Studio,Al Satwa
CNT2133154455,2025-10-20,42000,1,Al Warsan First
CNT2130116429,2025-03-01,40000,Office,Al Karama
CNT2131583097,2025-07-01,100000,3,Madinat Hind 4
CNT2133095892,2025-10-20,10000,Office,Port Saeed
CRT2134021236,2025-12-30,69876,2,Jabal Ali First
CNT2128824499,2025-02-01,186368,Shop,Trade Center Second
CNT2132878980,2025-10-02,17000,Office,Al Mararr
CNT2131108142,2025-06-01,85000,1,Al Merkadh
CNT2130571514,2025-04-18,20000,Office,Al Khabeesi
CNT2130972229,2025-05-01,95000,Showroom,Mankhool
CNT2131545534,2025-06-26,10000,Office,Al Baraha
CNT2129267221,2025-02-08,15000,Office,Hor Al Anz
CNT2127684619,2025-01-01,42000,2,Naif
CNT2128970028,2025-02-03,20000,Office,Business Bay
CNT2132407721,2025-08-20,54810,2,Al Warsan First
CNT2133690971,2025-11-01,105327,Shop,Al Barsha First
CRT2132773655,2025-09-23,157500,2,Burj Khalifa
CNT2133699568,2026-01-20,72600,2,Mankhool
CNT2133834458,2025-11-20,60000,2,Al Warqa First
CNT2133809218,2025-12-04,115000,3,Madinat Hind 4
CNT2131086958,2025-05-30,95000,2,Mankhool
CNT2132535158,2025-09-15,42000,Studio,Al Hebiah Fourth
CNT2133061839,2025-10-16,19000,Office,Al Garhoud
CNT2134238670,2026-01-14,55000,2,Al Ttay
CRT2133470746,2025-11-12,90000,1,Marsa Dubai
CNT2132391459,2025-08-26,65000,1,Jabal Ali Industrial Second
CNT2130600827,2025-05-10,70000,3,Hor Al Anz
CNT2127746850,2025-01-01,49000,1,Mankhool
CNT2133840596,2025-12-15,80000,1,Al Thanyah Third
CNT2132031434,2025-07-29,10000,Office,Al Mararr
CNT2134221830,2025-12-27,83303,2,Al Warqa First
CNT2131757936,2025-07-01,57750,2,Al Nahda First
CNT2134219251,2026-01-01,38500,2,Al Twar First
CNT2128431251,2025-01-02,62000,1,Al Barsha South Fourth
CNT2129125803,2025-02-05,15000,Office,Dubai Investment Park First
CNT2133153683,2025-11-11,110000,Shop,Naif
CNT2131534100,2025-06-26,42090,Shop,Al Warsan First
CNT2128733118,2025-04-12,104738,3,Al Thanyah First
CNT2132009800,2025-08-01,20000,Office,Al Mararr
CRT2131363536,2025-06-18,35000,1,Abu Hail
CNT2130636487,2025-04-10,43000,Studio,Warsan Fourth
CRT2130759666,2025-05-05,150000,2,Business Bay
CNT2132862988,2025-10-04,39500,1,Al Qusais Industrial Fifth
CNT2129964007,2025-04-02,55100,2,Al Warqa First
CNT2133004876,2025-11-15,120000,2,Business Bay
CNT2132680608,2025-10-27,60900,1,Jabal Ali First
CNT2131493456,2025-09-15,24200,Studio,Al Warsan First
CNT2130150073,2025-03-13,17000,Office,Al Goze First
CNT2134142428,2026-01-03,69999,2,Al Rega
CNT2129649590,2025-02-17,48000,1,Muhaisanah Fourth
CNT2132220894,2025-08-05,48510,1,Dubai Investment Park Second
CRT2133964766,2026-01-05,120000,2,Al Barsha South Third
CNT2134330104,2026-01-20,20000,Office,Dubai Investment Park First
CNT2134036657,2025-12-20,46000,Hotel,Jabal Ali First
CNT2133979142,2026-02-01,49912,Studio,Naif
CRT2130398716,2025-04-01,152250,2,Marsa Dubai
CRT2133008346,2025-10-20,82000,1,Al Barsha South Fourth
CNT2132734731,2025-10-01,65000,1,Mankhool
CRT2132493696,2025-02-25,80000,1,Al Barsha South Fourth
CNT2134297693,2026-01-20,67000,2,Al Nahda First
CNT2130005934,2025-03-03,15000,Office,Hor Al Anz
CNT2130953321,2025-05-01,38000,1,Al Warqa First
CNT2132035730,2025-07-29,75000,Office,Trade Center Second
CNT2133658054,2025-11-19,50578,1,Jabal Ali First
CNT2134108705,2026-01-10,56700,2,Al Goze Industrial Second
CNT2131163485,2025-06-05,50000,Shop,Al Warsan First
CNT2132325441,2025-08-07,26500,Studio,Al Warsan First
CNT2132043706,2025-07-30,15000,Office,Um Hurair Second
CNT2134205274,2026-02-20,50000,1,Nad Al Hamar
CNT2127678140,2025-01-09,25000,Office,Port Saeed
CNT2133340357,2025-12-04,51240,1,Al Barsha South Third
CRT2131101766,2025-01-25,30000,Studio,Naif
CNT2132613384,2025-09-12,15000,Office,Al Goze Third
CNT2133484652,2025-10-30,43831,1,Mirdif
CNT2129973651,2025-02-10,39386,Studio,Al Barsha South Third
CNT2132373203,2025-09-10,110000,2,Al Barsha South Third
CRT2132416495,2025-09-01,132000,2,Al Barsha South Fourth
CNT2130681686,2025-04-28,13000,Office,Mankhool
CNT2129991546,2025-01-15,32000,Studio,Al Karama
CNT2131225276,2025-06-05,110000,3,Madinat Hind 4
CNT2131857637,2025-07-22,40000,1,Al Qusais Industrial Fourth
CNT2133250059,2025-10-30,46000,Office,Rega Al Buteen
CNT2132710529,2025-10-10,70000,2,Al Murqabat
CNT2130009254,2025-02-01,65000,Shop,Eyal Nasser
CNT2128131492,2025-01-01,60000,Office,Al Barsha First
CNT2130052618,2025-03-06,6667,Office,Business Bay
CNT2130140703,2025-03-13,16000,Office,Al Goze First
CNT2134276047,2026-01-16,15000,Office,Al Mizhar First
CNT2131889087,2025-08-18,70999,2,Trade Center First
CRT2133495666,2025-11-20,57000,1,Al Hebiah Fourth
CNT2131960237,2025-06-27,80096,1,Business Bay
CNT2129934866,2025-05-05,93000,3,Mirdif
CRT2133060756,2025-10-24,120000,1,Marsa Dubai
CNT2131688874,2025-07-03,15000,Office,Trade Center Second
CNT2134155352,2026-01-08,15000,Office,Business Bay
CNT2132334543,2025-08-21,15000,Office,Hor Al Anz
CNT2133493896,2026-01-01,67000,Shop,Al Mararr
CNT2132470923,2025-05-01,85000,Shop,Jumeirah First
CNT2133851083,2025-12-15,45000,1,Warsan Fourth
CNT2132592842,2025-09-07,29222,Studio,Dubai Investment Park Second
CNT2128537896,2025-03-20,84000,1,Trade Center Second
CNT2133648433,2025-11-27,15000,Office,Al Khabeesi
CNT2129823350,2025-02-12,66000,1,Port Saeed
CNT2130670206,2025-07-18,92405,2,Al Garhoud
CNT2130106375,2025-04-02,86760,2,Mirdif
CNT2133752432,2025-12-06,24000,Office,Al Mizhar First
CNT2128940756,2025-01-20,42000,1,Al Twar Fifth
CRT2131151806,2025-06-15,67500,1,Al Barsha South Fourth
CNT2133802708,2025-12-04,58000,Studio,Al Thanyah Fifth
CNT2127877661,2025-01-14,56000,1,Nad Hessa
CNT2129443234,2025-02-11,15000,Office,Al Barsha First
CNT2132825182,2025-08-01,38000,Studio,Al Mararr
CRT2127947396,2025-02-01,65000,Office,Business Bay
CNT2131259379,2025-08-21,109560,Office,Burj Khalifa
CNT2134185702,2025-12-12,78000,1,Mankhool
CNT2132629329,2025-09-15,66000,1,Al Barsha South Fourth
CNT2133056414,2025-10-29,65000,1,Al Barsha South Fourth
CNT2133978608,2025-12-05,30000,Studio,Al Warsan First
CNT2129904931,2025-03-18,50000,Office,Al Ras
CNT2133471688,2025-06-01,25025,Shop,Um Hurair Second
CNT2133820646,2025-12-11,20000,Office,Dubai Investment Park First
CNT2131328408,2025-07-01,50000,Shop,Cornich Deira
CNT2134092701,2026-01-05,17000,Office,Al Mararr
CNT2130397258,2025-04-04,85000,2,Jabal Ali First
CNT2131908888,2025-06-02,39000,Studio,Nad Hessa
CNT2133772356,2025-12-08,20000,Office,Dubai Investment Park First
CNT2131848806,2025-07-21,54000,Shop,Nad Al Shiba Third
CNT2128516192,2025-01-01,50600,2,Al Nahda Second
CNT2129837281,2025-02-19,15000,Office,Al Khabeesi
CNT2129577851,2025-02-13,12000,Office,Al Mizhar First
CNT2129377009,2025-02-11,29000,Studio,Al Warsan First
CNT2128571772,2025-01-28,15000,Office,Al Baraha
CNT2132585704,2025-08-25,21500,Room in labor camp,Al Goze Third
CNT2130349804,2025-02-15,68500,2,Al Mararr
CNT2131190912,2025-05-29,71663,2,Al Murqabat
CNT2134312370,2026-01-01,80000,Shop with a mezzanine,Naif
CNT2132241497,2025-08-15,50000,Studio,Jabal Ali First
CNT2132725440,2025-09-16,55000,Office,Al Hebiah First
CNT2132358451,2025-03-10,25200,Office,Al Baraha
CNT2133108581,2025-10-21,15000,Office,Business Bay
CNT2131288266,2025-06-12,15000,Office,Business Bay
CNT2131689881,2025-08-01,56700,2,Al Goze Industrial Second
CNT2129911014,2025-03-08,34500,Studio,Jabal Ali Industrial First
CRT2133676226,2025-07-01,72000,2,Al Nahda Second
CNT2127595197,2025-01-07,20000,Office,Port Saeed
CNT2134239353,2025-02-21,51999,1,Jabal Ali First
CRT2133057386,2025-10-10,45000,Studio,Al Hebiah Fourth
CRT2131955796,2025-04-01,56870,3,Madinat Hind 4
CNT2134256909,2026-02-19,38500,1,Al Warsan First
CNT2131527068,2025-07-01,63000,2,Al Warsan First
CNT2131920949,2025-09-23,60000,2,Al Goze Industrial Second
CNT2129458230,2025-02-20,27000,Studio,Al Mararr
CNT2134184537,2025-12-20,51000,1,Um Hurair First
CNT2128134677,2025-01-28,74999,2,Naif
CNT2131757608,2025-07-01,39000,Office,Al Karama
CNT2133846615,2026-01-01,45000,1,Al Nahda Second
CNT2133422269,2025-10-30,53500,1,Warsan Fourth
CNT2131776350,2025-07-09,10000,Office,Abu Hail
CNT2132133717,2025-07-25,61300,2,Nad Hessa
CNT2130878379,2025-05-20,104000,1,Al Barsha First
CNT2133203916,2025-10-20,36900,1,Warsan Fourth
CNT2133159287,2025-09-10,52500,1,Jabal Ali First
CNT2132309772,2025-09-20,74000,1,Madinat Al Mataar
CNT2134207053,2026-01-16,45000,Studio,Me'Aisem First
CNT2130961927,2025-04-15,35000,Studio,Al Suq Al Kabeer
CNT2129874017,2025-02-06,95550,Office,Trade Center First
CNT2132537224,2025-09-08,15000,Office,Al Mararr
CNT2126688649,2025-01-01,24000,1,Al Qusais
CNT2130775307,2025-05-05,20000,Office,Al Khabeesi
CRT2132550166,2025-09-10,110000,3,Madinat Al Mataar
CNT2130520130,2025-04-15,73500,1,Marsa Dubai
CNT2131128009,2025-06-05,45000,Studio,Mankhool
CNT2131316881,2025-06-16,72000,1,Al Barsha South Fourth
CNT2131073815,2025-06-05,160000,Shop,Hor Al Anz East
CNT2132266051,2025-08-20,70000,Studio,Burj Khalifa
CNT2131955147,2025-04-22,125000,4,Hor Al Anz East
CNT2131863545,2025-07-16,17000,Office,Muhaisanah Fourth
CNT2134254478,2026-01-15,20000,Office,Business Bay
CNT2131057031,2025-05-26,15000,Office,Hor Al Anz
CNT2133303778,2025-11-05,32000,Studio,Al Warsan First
CNT2131252389,2025-07-06,69300,2,Jabal Ali First
CNT2132352136,2025-09-05,58331,1,Al Garhoud
CNT2132802838,2025-08-24,29000,Studio,Al Warsan First
CRT2133973106,2026-01-03,21000,Studio,Al Warsan First
CNT2131658284,2025-06-20,140000,4,Mirdif
CNT2131777770,2025-06-25,43000,Studio,Al Barsha South Fourth
CRT2131169966,2025-06-01,38000,Studio,Me'Aisem First
CNT2130190599,2025-04-16,87339,3,Al Karama
CNT2130891464,2025-05-13,20000,Office,Dubai Investment Park First
CRT2132409306,2025-07-05,75000,2,Al Nahda First
CNT2133434231,2025-11-11,51818,1,Mirdif
CRT2128463336,2025-01-01,100000,Office,Business Bay
CNT2133986257,2026-01-01,84000,3,Mirdif
CNT2130596084,2025-02-20,80000,2,Mankhool
CNT2134135955,2026-01-07,17000,Office,Al Mararr
CRT2128967226,2025-02-01,25000,Office,Naif
CRT2132714856,2025-09-13,124654,1,Marsa Dubai
CNT2132927480,2025-10-07,18000,Office,Al Mararr
CNT2128730430,2025-03-05,45000,2,Al Qusais
CNT2133340018,2025-11-05,20000,Office,Al Murqabat
CNT2132632088,2025-09-15,15000,Office,Al Mararr
CNT2131356955,2025-06-05,29000,Studio,Al Warsan First
CNT2134140429,2026-01-15,75000,2,Al Raffa
CNT2132407007,2025-09-01,38000,Studio,Dubai Investment Park Second
CNT2131673436,2025-07-15,80000,3,Trade Center Second
CNT2130068661,2025-02-10,29000,Studio,Naif
CNT2131751167,2025-07-14,110000,3,Abu Hail
CNT2129941657,2025-03-01,47000,Studio,Nad Hessa
CNT2130928217,2025-06-01,50820,2,Al Nahda Second
CNT2131759372,2025-07-08,15000,Office,Abu Hail
CNT2130510592,2025-04-01,22050,Studio,Hor Al Anz
CNT2133737583,2025-12-05,15000,Office,Al Barsha First
CNT2134296081,2026-02-01,39600,Labor camp,Al Goze Industrial Third
CRT2132149619,2025-08-15,92400,2,Hadaeq Sheikh Mohammed Bin Rashid
CNT2131108857,2025-06-04,53000,1,Ras Al Khor Industrial Third
CRT2130483946,2025-04-01,72000,2,Marsa Dubai
CNT2132113399,2025-08-04,22000,Office,Naif
CNT2133540573,2025-11-15,78000,3,Al Qusais
CNT2133879835,2025-12-16,70000,1,Me'Aisem First
CNT2133488906,2025-11-14,16000,Office,Business Bay
CNT2131708633,2025-07-05,170000,3,Madinat Al Mataar
CNT2132663529,2025-09-20,55000,Studio,Al Barsha South Third
CNT2131953210,2025-07-24,16000,Office,Al Karama
CNT2133494243,2026-01-12,60000,2,Al Goze Industrial Second
CNT2134126272,2026-01-17,56000,2,Al Warsan First
CNT2130412978,2025-04-01,95000,1,Al Bada
CNT2126611709,2025-01-01,32000,2,Muhaisanah Fourth
CNT2127780019,2025-02-02,89780,1,Trade Center First
CRT2130722996,2025-05-10,45000,Studio,Madinat Al Mataar
CNT2132405350,2025-08-27,15000,Office,Saih Shuaib 3
CRT2133849016,2025-12-15,150000,4,Madinat Hind 4
CNT2133578326,2025-11-22,36225,2,Muhaisanah Fourth
CNT2131783219,2025-08-26,26000,1,Al Goze Fourth
CNT2129855451,2025-05-10,56600,2,Wadi Al Safa 3
CRT2133524396,2025-11-01,79695,1,Marsa Dubai
CNT2129844440,2025-02-19,15000,Office,Al Murqabat
CNT2132236834,2025-08-13,20000,Office,Dubai Investment Park Second
CNT2132929163,2025-10-20,84000,1,Wadi Al Safa 5
CNT2134171203,2026-01-29,37000,Studio,Al Goze Industrial Second
CRT2133295176,2025-11-15,71000,1,Al Barsha South Fourth
CNT2128805011,2025-01-01,44100,2,Al Qusais Industrial Fifth
CNT2133240575,2025-10-29,10000,3,Al Thanyah Fourth
CNT2133727630,2025-12-04,15000,Office,Al Murqabat
CNT2130264711,2025-01-16,56000,2,Al Nahda First
CRT2130498456,2025-05-04,73700,1,Al Thanyah Fifth
CNT2133081109,2025-10-18,20000,Office,Jabal Ali Industrial First
CNT2133980382,2026-01-01,105000,2,Al Barsha First
CNT2132686088,2025-09-18,48000,Studio,Al Merkadh
CNT2132522990,2025-08-31,48000,1,Ras Al Khor Industrial Third
CNT2134135906,2026-01-01,41000,1,Al Qusais
CNT2133340038,2025-11-05,19000,Office,Al Mararr
CNT2132194830,2025-08-11,15000,Office,Saih Shuaib 3
CNT2129900272,2025-02-24,15000,Office,Hor Al Anz
CNT2131989847,2025-07-29,70000,1,Jumeirah First
CNT2130532244,2025-01-01,88935,3,Al Murqabat
CNT2133735123,2025-12-05,32000,Office,Trade Center First
CNT2133463512,2025-11-05,67000,1,Jabal Ali First
CNT2130091716,2025-02-25,45000,1,Mankhool
CNT2132618134,2025-09-13,15000,Office,Burj Khalifa
CNT2131697638,2025-07-03,15000,Office,Naif
