transaction_id,trans_group,procedure_name,instance_date,property_type,property_sub_type,property_usage,reg_type,area_name,building_name,project_name,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,actual_worth,meter_sale_price,area_sqft,Price_Per_SqFt
1-102-2024-85856,Sales,Sell - Pre registration,2024-10-15,Unit,Flat,Residential,Off-Plan,Jabal Ali First,BEVERLY GARDENS BY AA AND HMB REAL ESTATE DEVELOPMENT,BEVERLY GARDENS BY AA AND HMB REAL ESTATE DEVELOPMENT,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1,1,75.01,950000.0,12664.98,807.40764,1176.6051656385118
1-102-2025-73619,Sales,Sell - Pre registration,2025-08-12,Unit,Flat,Residential,Off-Plan,Nad Hessa,ALTIA ONE,ALTIA ONE,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1,1,79.69,1325000.0,16626.93,857.78316,1544.6794269078448
1-102-2024-22657,Sales,Sell - Pre registration,2024-04-09,Unit,Flat,Residential,Off-Plan,Zaabeel First,Address Residences Zabeel Tower 3,Address Residences Zabeel,Burj Khalifa,Al Jafiliya Metro Station,Dubai Mall,1,1,72.5,1965888.0,27115.7,780.39,2519.109675931265
1-102-2025-2892,Sales,Sell - Pre registration,2025-01-16,Unit,Flat,Residential,Off-Plan,Madinat Al Mataar,Terra Heights Building 1,Terra Heights,Expo 2020 Site,UAE Exchange Metro Station,Ibn-e-Battuta Mall,2,1,101.95,2302890.0,22588.43,1097.3898,2098.5159512144182
1-11-2025-6984,Sales,Sell,2025-02-19,Unit,Flat,Residential,Existing,Al Barsha South Fourth,Sydney Tower,The Grand ,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1,1,66.23,878220.0,13260.15,712.89972,1231.8983657336828
1-11-2025-21880,Sales,Sell,2025-05-26,Unit,Flat,Residential,Existing,Jabal Ali Industrial Second,Alexis Tower,Alexis Tower,Expo 2020 Site,UAE Exchange Metro Station,Ibn-e-Battuta Mall,Studio,1,30.98,335907.0,10842.7,333.46871999999996,1007.3118702107953
1-102-2024-7040,Sales,Sell - Pre registration,2024-02-06,Unit,Flat,Residential,Off-Plan,Al Wasl,Erin,Erin,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,72.04,1950000.0,27068.3,775.43856,2514.706000692047
1-11-2025-50821,Sales,Sell,2025-12-05,Unit,Flat,Residential,Existing,Al Khairan First,VIDA Residences at Creek Beach,Creek Beach - VIDA Residences,Dubai International Airport,Creek Metro Station,City Centre Mirdif,2,1,105.43,3180000.0,30162.19,1134.84852,2802.1360947802973
1-102-2025-85227,Sales,Sell - Pre registration,2025-09-08,Unit,Flat,Residential,Off-Plan,Madinat Al Mataar,AZIZI VENICE 10 - BUILDING A,AZIZI VENICE 10,Dubai Cycling Course,Emirates Towers Metro Station,Dubai Mall,1,1,70.49,1180000.0,16739.96,758.7543599999999,1555.1805198193526
1-11-2024-34968,Sales,Sell,2024-09-19,Unit,Flat,Residential,Existing,Marsa Dubai,Marina Quay North,MARINA QUAYS,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,2,1,122.17,2475000.0,20258.66,1315.0378799999999,1882.075062354858
1-102-2024-22261,Sales,Sell - Pre registration,2024-04-08,Unit,Flat,Residential,Off-Plan,Business Bay,Canal Crown 2,CANAL CROWN 2,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,39.92,1287000.0,32239.48,429.69888,2995.1206761348785
1-102-2024-68461,Sales,Sell - Pre registration,2024-09-05,Unit,Flat,Residential,Off-Plan,Al Khairan First,ARLO,ARLO,Dubai International Airport,Creek Metro Station,City Centre Mirdif,2,1,116.91,2840888.0,24299.79,1258.41924,2257.5052174186403
1-11-2024-43425,Sales,Sell,2024-11-12,Unit,Flat,Residential,Existing,Al Merkadh,Azizi Riviera 30,Azizi Riviera 30,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,32.01,890000.0,27803.81,344.55564,2583.037096708096
1-11-2024-24564,Sales,Sell,2024-07-04,Unit,Flat,Residential,Existing,Al Yelayiss 2,Town Square Warda 1,TOWN SQUARE JENNA AND WARDA,Dubai Cycling Course,Business Bay Metro Station,Dubai Mall,2,1,87.32,1079000.0,12356.85,939.9124799999998,1147.979224618871
1-11-2025-7280,Sales,Sell,2025-02-20,Unit,Flat,Residential,Existing,Marsa Dubai,52|42 Tower 2,5242,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,1,1,63.39,2200000.0,34705.79,682.3299599999999,3224.2465214337067
1-102-2024-105143,Sales,Sell - Pre registration,2024-12-16,Unit,Flat,Residential,Off-Plan,Marsa Dubai,Franck Muller Vanguard,Franck muller Vanguard ,Burj Al Arab,Marina Towers,Marina Mall,1,1,89.33,2714888.0,30391.67,961.5481199999999,2823.4551589576195
1-102-2024-78119,Sales,Sell - Pre registration,2024-09-27,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Address Residences l Dubai Hills Estate Tower B,Address Residences l Dubai Hills Estate,IMG World Adventures,Nakheel Metro Station,Marina Mall,1,1,69.75,2086888.0,29919.54,750.789,2779.593201285581
1-102-2025-80032,Sales,Sell - Pre registration,2025-08-25,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,Binghatti Ruby,Binghatti Ruby,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,59.55,1243749.0,20885.79,640.9961999999999,1940.337555823264
1-102-2025-12170,Sales,Sell - Pre registration,2025-02-14,Unit,Flat,Residential,Off-Plan,Jabal Ali First,South Garden A,South Garden A,Expo 2020 Site,ENERGY Metro Station,Ibn-e-Battuta Mall,2,1,111.13,1463000.0,13164.76,1196.2033199999998,1223.0362309979212
1-102-2025-26197,Sales,Sell - Pre registration,2025-04-01,Unit,Flat,Residential,Off-Plan,Bukadra,Skyscape Altius,SKYSCAPE,IMG World Adventures,Creek Metro Station,Dubai Mall,1,1,58.78,1626039.0,27663.13,632.70792,2569.967829705688
1-102-2025-85349,Sales,Sell - Pre registration,2025-09-09,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 3,Samana Barari Heights,Samana Barari Heights,IMG World Adventures,Business Bay Metro Station,Dubai Mall,2,1,118.88,1575000.0,13248.65,1279.62432,1230.8299986045906
1-102-2025-86763,Sales,Sell - Pre registration,2025-09-11,Unit,Flat,Residential,Off-Plan,Al Hebiah First,Sobha Orbis Tower B,Sobha Orbis,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,50.89,1029826.0,20236.31,547.77996,1879.9994070611858
1-102-2025-23800,Sales,Sell - Pre registration,2025-03-25,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 5,THE BOULEVARD BY PRESTIGE ONE,THE BOULEVARD BY PRESTIGE ONE ,IMG World Adventures,Dubai Internet City,Mall of the Emirates,1,1,99.65,945250.0,9485.7,1072.6326,881.2430276685606
1-11-2025-20546,Sales,Sell,2025-05-15,Unit,Flat,Residential,Existing,Me'Aisem First,DANIA 2,MIDTOWN - DANIA,Sports City Swimming Academy,Harbour Tower,Ibn-e-Battuta Mall,1,1,61.57,790000.0,12830.92,662.73948,1192.0219389978097
1-102-2024-103392,Sales,Sell - Pre registration,2024-12-11,Unit,Flat,Residential,Off-Plan,Al Barsha South Fifth,Red Square -A,RED SQUARE,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,29.75,635000.0,21344.54,320.229,1982.9559471503208
1-102-2025-5795,Sales,Sell - Pre registration,2025-01-27,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,99 PARK PLACE,99 PARK PLACE,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2,1,120.58,1640998.0,13609.21,1297.92312,1264.3260411294623
1-102-2024-88085,Sales,Sell - Pre registration,2024-10-21,Unit,Flat,Residential,Off-Plan,Jabal Ali First,Azizi Amber,AZIZI AMBER,Expo 2020 Site,ENERGY Metro Station,Ibn-e-Battuta Mall,Studio,1,34.94,570000.0,16313.68,376.09415999999993,1515.5779074048905
1-102-2026-1721,Sales,Sell - Pre registration,2026-01-07,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 3,Binghatti Vintage,Binghatti Vintage,IMG World Adventures,Emirates Towers Metro Station,Dubai Mall,Studio,1,34.73,682999.0,19665.97,373.83371999999997,1827.0128227063092
1-102-2024-60031,Sales,Sell - Pre registration,2024-08-12,Unit,Flat,Residential,Off-Plan,Bukadra,360 Riverside Crescent,360 Riverside Crescent,IMG World Adventures,Emirates Towers Metro Station,Dubai Mall,1,1,82.48,2232842.0,27071.31,887.81472,2514.9864602380103
1-102-2025-128894,Sales,Sell - Pre registration,2025-12-17,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,Binghatti Amberhall,Binghatti Amberhall,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1,1,64.12,1174999.0,18325.0,690.18768,1702.434039390561
1-102-2025-120903,Sales,Sell - Pre registration,2025-11-25,Unit,Flat,Residential,Off-Plan,Jabal Ali First,The Serene at Sobha Central,Sobha Central Phase II,Sports City Swimming Academy,Harbour Tower,Marina Mall,2,1,81.03,2699459.0,33314.32,872.20692,3094.9754445883095
1-11-2025-33143,Sales,Sell,2025-08-07,Unit,Flat,Residential,Existing,Al Barsha South Second,Three Towers B-2,VICTORY HEIGHTS,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1,1,107.01,1880084.0,17569.24,1151.85564,1632.2218989178193
1-102-2024-46986,Sales,Sell - Pre registration,2024-07-01,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 5,Weybridge Gardens,Weybridge Gardens,IMG World Adventures,Emirates Towers Metro Station,Dubai Mall,1,1,78.84,768249.0,9744.41,848.6337599999999,905.2774426508793
1-102-2024-99309,Sales,Sell - Pre registration,2024-11-26,Unit,Flat,Residential,Off-Plan,Madinat Hind 4,DAMAC HILLS (2) - ELO 3,DAMAC HILLS (2) - ELO 2 & ELO 3,IMG World Adventures,First Abu Dhabi Bank Metro Station,Mall of the Emirates,2,1,72.24,1098000.0,15199.34,777.5913599999999,1412.0527265117762
1-102-2024-34809,Sales,Sell - Pre registration,2024-05-22,Unit,Flat,Residential,Off-Plan,Jumeirah First,La Sirene - Building 3,Port De La Mer - La Sirene,Burj Khalifa,Trade Centre Metro Station,Dubai Mall,2,1,111.66,3770000.0,33763.21,1201.90824,3136.678720165859
1-102-2024-98169,Sales,Sell - Pre registration,2024-11-21,Unit,Flat,Residential,Off-Plan,Palm Deira,Beach Walk Residences 1,BEACH WALK RESIDENCES 1,Dubai International Airport,Palm Deira Metro Stations,Marina Mall,2,1,107.37,2379748.0,22164.0,1155.73068,2059.085253322167
1-102-2024-4188,Sales,Sell - Pre registration,2024-01-23,Unit,Flat,Residential,Off-Plan,Al Hebiah Third,DAMAC HILLS - GOLF GREENS 1 -TOWER A,DAMAC HILLS - GOLF GREENS 1,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2,1,106.51,1663000.0,15613.56,1146.47364,1450.5348766675527
1-11-2024-37316,Sales,Sell,2024-10-03,Unit,Flat,Residential,Existing,Burj Khalifa,Residences_E3,Greenspoint,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2,1,137.78,3500000.0,25402.82,1483.0639199999998,2359.9791976599367
1-11-2025-21505,Sales,Sell,2025-05-22,Unit,Flat,Residential,Existing,Al Yelayiss 2,TOWN SQUARE - RAWDA APARTMENTS 1,RAWDA APARTMENTS,Dubai Cycling Course,Business Bay Metro Station,Dubai Mall,2,1,84.29,1250000.0,14829.75,907.29756,1377.7178018642528
1-11-2024-15898,Sales,Sell,2024-05-08,Unit,Flat,Residential,Existing,Al Merkadh,Azizi Riviera 16,Azizi Riviera 16,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,27.23,550000.0,20198.31,293.10372,1876.4688486382909
1-102-2025-113834,Sales,Sell - Pre registration,2025-11-11,Unit,Flat,Residential,Off-Plan,Al Thanyah Fifth,MBL Signature,MBL Signature,Burj Al Arab,Damac Properties,Marina Mall,Studio,1,57.01,1303075.0,22856.95,613.65564,2123.4629245809588
1-102-2026-1290,Sales,Sell - Pre registration,2026-01-06,Villa,Villa,Residential,Off-Plan,Al Yelayiss 1,Sky Gate Tower,DAMAC ISLANDS 2 - TAHITI 1,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,4,0,144.02,2982000.0,20705.46,1550.23128,1923.5839441970234
1-102-2025-8251,Sales,Sell - Pre registration,2025-02-04,Unit,Flat,Residential,Off-Plan,Madinat Dubai Almelaheyah,Saria by Beyond,Saria,IMG World Adventures,Business Bay Metro Station,Dubai Mall,1,1,71.16,1853000.0,26039.91,765.96624,2419.166672411045
1-102-2024-29644,Sales,Sell - Pre registration,2024-05-07,Villa,Villa,Residential,Off-Plan,Al Yufrah 1,SAMANA SANTORINI,The Valley - Talia,Motor City,Emirates Towers Metro Station,Dubai Mall,3,0,174.0,1900000.0,10919.54,1872.936,1014.4500399372963
1-102-2025-56993,Sales,Sell - Pre registration,2025-07-01,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Golf Hillside,Golf Hillside,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,3,1,148.94,3929888.0,26385.71,1603.1901599999999,2451.2924904678807
1-11-2024-42753,Sales,Sell,2024-11-11,Unit,Flat,Residential,Existing,Al Hebiah First,WESTON COURT 2,Lumiere Heights,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,87.61,663397.0,7572.17,943.0340399999999,703.4708948576236
1-102-2024-106357,Sales,Sell - Pre registration,2024-12-19,Unit,Flat,Residential,Off-Plan,Jabal Ali First,SYMBOLIC AURA,SYMBOLIC AURA,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,2,1,109.94,1450800.0,13196.29,1183.3941599999998,1225.9651509519028
1-102-2025-56365,Sales,Sell - Pre registration,2025-06-30,Unit,Flat,Residential,Off-Plan,Al Khairan First,Altan,Altan,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1,1,71.58,2059888.0,28777.42,770.4871199999999,2673.4879098303427
1-102-2025-112515,Sales,Sell - Pre registration,2025-11-07,Unit,Flat,Residential,Off-Plan,Al Hebiah First,Sobha Solis Tower B,Sobha Solis,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,50.39,1084800.0,21528.08,542.39796,2000.007522152185
1-102-2024-98112,Sales,Sell - Pre registration,2024-11-21,Unit,Flat,Residential,Off-Plan,Jabal Ali First,THE STELLA RESIDENCES,The Stella Residences,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1,1,83.86,1022777.0,12196.24,902.66904,1133.058690037713
1-102-2024-65451,Sales,Sell - Pre registration,2024-08-27,Unit,Flat,Residential,Off-Plan,Al Barsha South Second,Binghatti Hills - 2,Binghatti Hills ,Motor City,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Studio,1,48.58,900000.0,18526.14,522.91512,1721.1206285257156
1-102-2025-108872,Sales,Sell - Pre registration,2025-10-30,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 4,Distrikt-1,DISTRIKT,Dubai International Airport,Al Jadaf Metro Station,Dubai Mall,1,1,74.65,1485000.0,19892.83,803.5326,1848.0892996749603
1-102-2024-85988,Sales,Sell - Pre registration,2024-10-15,Unit,Flat,Residential,Off-Plan,Madinat Dubai Almelaheyah,Pier Point 2,Pier Point 2,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,1,1,72.44,1962888.0,27096.74,779.74416,2517.3487673187574
1-102-2024-103250,Sales,Sell - Pre registration,2024-12-10,Unit,Flat,Residential,Off-Plan,Wadi Al Safa 4,Serra Tower 1,Serra,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,2,1,140.86,2442000.0,17336.36,1516.21704,1610.5873602370277
1-102-2024-78277,Sales,Sell - Pre registration,2024-09-30,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Address Residences l Dubai Hills Estate Tower B,Address Residences l Dubai Hills Estate,IMG World Adventures,Nakheel Metro Station,Marina Mall,2,1,101.45,2928888.0,28870.26,1092.0077999999999,2682.1127101839384
1-102-2025-43249,Sales,Sell - Pre registration,2025-05-21,Unit,Flat,Residential,Off-Plan,Al Hebiah First,Takaya - Tower C,Takaya ,Motor City,Dubai Internet City,Mall of the Emirates,2,1,118.19,2140586.0,18111.4,1272.19716,1682.589827507554
1-102-2025-87676,Sales,Sell - Pre registration,2025-09-15,Unit,Flat,Residential,Off-Plan,Business Bay,Binghatti Skyrise - TOWER C,Binghatti Skyrise,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,39.54,975000.0,24658.57,425.60855999999995,2290.8373835338275
1-102-2025-19025,Sales,Sell - Pre registration,2025-03-07,Unit,Flat,Residential,Off-Plan,Business Bay,Binghatti Skyrise - TOWER B,Binghatti Skyrise,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1,1,78.88,1825000.0,23136.41,849.06432,2149.4249104708583
1-11-2024-38614,Sales,Sell,2024-10-11,Unit,Flat,Residential,Existing,Al Hebiah Third,DAMAC HILLS - CARSON (C),DAMAC HILLS - CARSON ,Motor City,Jumeirah Beach Residency,Marina Mall,Studio,1,31.62,510000.0,16129.03,340.35768,1498.4236583114562
1-102-2025-526,Sales,Sell - Pre registration,2025-01-07,Unit,Flat,Residential,Off-Plan,Bukadra,Skyscape Aura,SKYSCAPE,Downtown Dubai,Creek Metro Station,Dubai Mall,1,1,85.28,1958029.0,22960.0,917.9539199999999,2133.0362639553846
1-102-2025-64679,Sales,Sell - Pre registration,2025-07-21,Unit,Flat,Residential,Off-Plan,Palm Deira,Cotier House 1 by Imtiaz,COTIER HOUSE 1 BY IMTIAZ,Dubai International Airport,Creek Metro Station,City Centre Mirdif,1,1,122.74,3075028.0,25053.19,1321.1733599999998,2327.497732772935
1-11-2025-19682,Sales,Sell,2025-05-12,Unit,Flat,Residential,Existing,Al Merkadh,SOBHA CREEK VISTAS ? TOWER A,Sobha Creek Vistas,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1,1,45.39,1000000.0,22031.28,488.57795999999996,2046.7562638314673
1-11-2025-47489,Sales,Sell,2025-11-12,Unit,Flat,Residential,Existing,Wadi Al Safa 5,Skycourts Tower E,SKY COURTS,IMG World Adventures,Emirates Towers Metro Station,Dubai Mall,1,1,68.18,535000.0,7846.88,733.8895200000001,728.9925600790701
1-11-2024-9498,Sales,Sell,2024-03-14,Unit,Flat,Residential,Existing,Al Hebiah Fifth,AL THAMAM 3,REMRAAM,Motor City,Business Bay Metro Station,Dubai Mall,2,1,139.19,950000.0,6825.2,1498.2411599999998,634.0768264569638
1-11-2024-34996,Sales,Sell,2024-09-19,Unit,Flat,Residential,Existing,Wadi Al Safa 2,MAZAYA 27,QPOINT LIWAN-PLOT R068,IMG World Adventures,Business Bay Metro Station,Dubai Mall,2,1,103.84,585000.0,5633.67,1117.73376,523.3804515307831
1-11-2024-8829,Sales,Sell,2024-03-11,Villa,Villa,Residential,Existing,Jabal Ali First,Wynwood Horizon by Imtiaz,Grand Polo - Equiterra ,Expo 2020 Site,ENERGY Metro Station,Ibn-e-Battuta Mall,3,0,199.0,2700000.0,13567.84,2142.036,1260.4830170921496
1-102-2025-51581,Sales,Sell - Pre registration,2025-07-17,Unit,Flat,Residential,Off-Plan,Me'Aisem First,Imperial Residence,Imperial Residence,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,45.97,741956.0,16140.0,494.82107999999994,1499.4429905856075
1-102-2024-84938,Sales,Sell - Pre registration,2024-10-11,Unit,Flat,Residential,Off-Plan,Business Bay,Canal Crown 2,CANAL CROWN 2,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,33.23,993000.0,29882.64,357.68771999999996,2776.1646388084
1-102-2024-45943,Sales,Sell - Pre registration,2024-06-26,Villa,Villa,Residential,Off-Plan,Wadi Al Safa 7,Elara 3,Rukan 3,Motor City,Business Bay Metro Station,Dubai Mall,1,0,53.35,755000.0,14151.83,574.2594,1314.736859335694
1-102-2025-68474,Sales,Sell - Pre registration,2025-07-29,Unit,Flat,Residential,Off-Plan,Madinat Dubai Almelaheyah,CHELSEA RESIDENCES 2 BY DAMAC TOWER-B,CHELSEA RESIDENCES 2 BY DAMAC,Burj Khalifa,Al Ghubaiba Metro Station,Dubai Mall,1,1,71.68,2522000.0,35184.15,771.56352,3268.6874568668045
1-102-2025-19529,Sales,Sell - Pre registration,2025-03-10,Unit,Flat,Residential,Off-Plan,Al Hebiah First,Sobha Solis Tower A,Sobha Solis,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,65.1,1369927.0,21043.43,700.7363999999999,1954.9819304377513
1-102-2025-79386,Sales,Sell - Pre registration,2025-08-25,Unit,Flat,Residential,Off-Plan,Madinat Dubai Almelaheyah,Baystar by VIDA Tower 2,Baystar by VIDA,Dubai Cycling Course,Emirates Towers Metro Station,Dubai Mall,1,1,67.67,2134888.0,31548.51,728.3998799999999,2930.928544359453
1-102-2025-90658,Sales,Sell - Pre registration,2025-09-18,Unit,Flat,Residential,Off-Plan,Dubai Investment Park Second,DAMAC Riverside Views - Indigo 1 -A,DAMAC RIVERSIDE VIEWS - INDIGO 1,Burj Khalifa,Al Jafiliya Metro Station,Dubai Mall,1,1,70.82,1214000.0,17142.05,762.3064799999999,1592.5353277857487
1-102-2025-47881,Sales,Sell - Pre registration,2025-06-04,Unit,Flat,Residential,Off-Plan,Al Satwa,161 Jumeirah Lane,161 Jumeirah Lane,Burj Khalifa,Emirates Towers Metro Station,Dubai Mall,1,1,66.76,1244975.0,18648.52,718.60464,1732.4895091131057
1-11-2024-44255,Sales,Sell,2024-11-15,Villa,Villa,Residential,Existing,Wadi Al Safa 5,J ONE - 2,Villanova Amaranta B,IMG World Adventures,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3,0,161.0,2250000.0,13975.16,1733.004,1298.3236045617898
1-102-2025-61081,Sales,Sell - Pre registration,2025-07-10,Unit,Flat,Residential,Off-Plan,Bukadra,Skyvue Stellar,Skyvue,IMG World Adventures,Nakheel Metro Station,Marina Mall,2,1,115.15,3346569.0,29062.69,1239.4746,2699.989979625238
1-11-2025-19345,Sales,Sell,2025-05-08,Unit,Flat,Residential,Existing,Jabal Ali First, Starz Tower 2,STARZ TOWER by DANUBE,Expo 2020 Site,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,1,1,64.97,830000.0,12775.13,699.3370799999999,1186.8382554518632
1-102-2025-5466,Sales,Sell - Pre registration,2025-01-24,Unit,Flat,Residential,Off-Plan,Palm Deira,Zephyra Residences,Zephyra Residences,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,2,1,150.35,2800860.0,18628.93,1618.3673999999999,1730.670056749784
1-102-2025-13119,Sales,Sell - Pre registration,2025-02-19,Unit,Flat,Residential,Off-Plan,Al Thanyah Fifth,Diamondz By Danube,Diamondz By Danube ,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1,1,69.35,1678500.0,24203.32,746.4833999999998,2248.542968269623
1-102-2024-39531,Sales,Sell - Pre registration,2024-06-04,Unit,Flat,Residential,Off-Plan,Madinat Dubai Almelaheyah,NAUTICA ONE,Nautica One,Hamdan Sports Complex,Emirates Towers Metro Station,Dubai Mall,1,1,62.74,1685000.0,26856.87,675.33336,2495.0640673222483
1-102-2026-4997,Sales,Sell - Pre registration,2026-01-16,Villa,Villa,Residential,Off-Plan,Al Yelayiss 1,Mallside Residence,DAMAC ISLANDS 2 - BARBADOS 2 ,Global Village,Emirates Towers Metro Station,Mall of the Emirates,4,0,144.0,2746000.0,19069.44,1550.0159999999998,1771.5946157975145
1-102-2024-80588,Sales,Sell - Pre registration,2024-10-03,Unit,Flat,Residential,Off-Plan,Hadaeq Sheikh Mohammed Bin Rashid,Address Residences l Dubai Hills Estate Tower A,Address Residences l Dubai Hills Estate,IMG World Adventures,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1,1,69.92,1985888.0,28402.29,752.61888,2638.6369685543896
1-102-2025-12354,Sales,Sell - Pre registration,2025-02-17,Unit,Flat,Residential,Off-Plan,Al Hebiah First,Sobha Orbis Tower F,Sobha Orbis,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,1,1,57.79,1200537.0,20774.13,622.05156,1929.9638120029792
1-102-2024-91766,Sales,Sell - Pre registration,2024-10-30,Unit,Flat,Residential,Off-Plan,Al Barsha South Third,Beverly Boulevard,BEVERLY BOULEVARD,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,Studio,1,37.18,575000.0,15465.3,400.20552,1436.7617917913776
1-102-2025-106353,Sales,Sell - Pre registration,2025-10-23,Unit,Flat,Residential,Off-Plan,Business Bay,Al Habtoor Tower,Al Habtoor Tower,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2,1,141.57,4025935.0,28437.77,1523.8594799999998,2641.9332312714296
1-102-2025-110356,Sales,Sell - Pre registration,2025-11-03,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,The Orchard Place- Towers D&E,The Orchard Place- Towers D&E,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,2,1,121.05,1590720.0,13141.02,1302.9822,1220.8301847868681
1-102-2024-14940,Sales,Sell - Pre registration,2024-03-11,Unit,Flat,Residential,Off-Plan,Al Barsha South Fourth,Binghatti Tulip,Binghatti Tulip,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,57.35,809560.0,14116.13,617.3154,1311.4203857541868
1-102-2024-56865,Sales,Sell - Pre registration,2024-08-02,Unit,Flat,Residential,Off-Plan,Al Merkadh,AZIZI Riviera 65,AZIZI RIVIERA 65,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,31.97,993735.0,31083.36,344.12507999999997,2887.714548442677
1-11-2025-45643,Sales,Sell,2025-10-31,Unit,Flat,Residential,Existing,Jumeirah First,Le Pont - Building 3,Port de La Mer - Le Pont ,Burj Khalifa,Trade Centre Metro Station,Dubai Mall,1,1,73.58,2500000.0,33976.62,792.0151199999999,3156.505396008097
1-11-2024-13317,Sales,Sell,2024-04-19,Unit,Flat,Residential,Existing,Al Hebiah Third,DAMAC HILLS - CARSON (A),DAMAC HILLS - CARSON ,Motor City,Business Bay Metro Station,Dubai Mall,Studio,1,37.73,475000.0,12589.45,406.12571999999994,1169.5885697660322
1-102-2025-64265,Sales,Sell - Pre registration,2025-07-21,Unit,Flat,Residential,Off-Plan,Palm Deira,Bay Grove Residences B - Building 6,Bay Grove Residences B - Dubai Islands,Burj Khalifa,Trade Centre Metro Station,Dubai Mall,1,1,90.68,2453000.0,27051.17,976.07952,2513.1149150634774
1-102-2026-3320,Sales,Sell - Pre registration,2026-01-16,Unit,Flat,Residential,Off-Plan,Palm Deira,Arya Residences by Citi Developers,Arya Residences by Citi Developers,Dubai International Airport,Palm Deira Metro Stations,Dubai Mall,1,1,79.75,2588476.0,32457.38,858.429,3015.364112815387
1-11-2025-827,Sales,Sell,2025-01-08,Villa,Villa,Residential,Existing,Al Barsha South Fourth,Binghatti Royale,INDIGO VILLE 3,Sports City Swimming Academy,Dubai Internet City,Marina Mall,3,0,158.2,2550000.0,16118.84,1702.8647999999998,1497.4764878574038
1-102-2024-31883,Sales,Sell - Pre registration,2024-05-14,Unit,Flat,Residential,Off-Plan,Al Hebiah Fifth,LAGOON VIEWS 6,DAMAC LAGOONS - LAGOON VIEWS 6,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,1,1,61.72,1190000.0,19280.62,664.35408,1791.2135047021914
